chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr9,22098574,rs4977574,3499,1.002e-12,1.258,CDKN2B-AS1,Coronary atherosclerosis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,4085,6.335e-10,1.207,CDKN2B-AS1,Ischemic Heart Disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,836,2.164e-9,1.396,CDKN2B-AS1,Unstable angina (intermediate coronary syndrome),"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1382,4.003e-8,1.28,CDKN2B-AS1,Myocardial infarction,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1228,7.667e-6,1.239,CDKN2B-AS1,Chronic ischemic heart disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1362,4.924e-5,1.203,CDKN2B-AS1,Angina pectoris,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,152,5.487e-5,1.607,CDKN2B-AS1,Paraproteinemia,Intracranial aneurysm,192
chr9,22098574,rs4977574,1163,5.597e-5,1.205,CDKN2B-AS1,Occlusion and stenosis of precerebral arteries,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,539,2.201e-4,1.273,CDKN2B-AS1,Polyneuropathy in diabetes,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,437,3.253e-4,1.296,CDKN2B-AS1,Type 2 diabetic nephropathy,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,227,4.194e-4,1.405,CDKN2B-AS1,Plasma protein metabolism disorder,Intracranial aneurysm,192
chr9,22068652,rs4977756,642,8.155e-4,1.23,CDKN2B-AS1,"stress incontinence, female","Glaucoma, Glioma",192
chr9,22098574,rs4977574,1847,0.001024,1.137,CDKN2B-AS1,Ill-defined descriptions and complications of heart disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1167,0.001051,1.162,CDKN2B-AS1,Hypotension,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,551,0.001179,1.236,CDKN2B-AS1,Other forms of chronic heart disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,2796,0.001267,1.134,CDKN2B-AS1,Hemorrhoids,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,404,0.001384,1.289,CDKN2B-AS1,Abdominal aortic aneurysm,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,2631,0.00161,1.111,CDKN2B-AS1,Cerebrovascular disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,605,0.002286,1.207,CDKN2B-AS1,Hypotension NOS,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,153,0.002296,1.433,CDKN2B-AS1,"Cardiac complications, not elsewhere classified","Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,2685,0.002514,1.126,CDKN2B-AS1,Cardiac conduction disorders,"Early onset myocardial infarction, Coronary heart disease",192
